20424001,Nguyễn Thái,Nam,30124001
20424002,Lê Tuấn,Nam,30124002
20424003,Bùi Xuân,Nu,30124003
20424004,Nguyễn Kim,Nam,30124004
20424005,Lý Gia,Nam,30124005
20424006,Nguyễn Gia,Nam,30124006
20424007,Trần Minh,Nam,30124007
20424008,Dương Dủ,Nam,30124008
20424009,Lê Quốc,Nam,30124009
20424010,Nguyễn Chí,Nam,30124010
20424011,Trần Minh,Nam,30124011
20424012,Nguyễn Ngọc,Nu,30124012
20424013,Hà Thị Mỹ,Nu,30124013
20424014,Phan Huy,Nu,30124014
20424015,Trần Quang,Nu,30124015
20424016,Lê Đức,Nu,30124016
20424017,Nguyễn Minh,Nu,30124017
20424018,Võ Minh,Nu,30124020
20424019,Hoàng Đình Sơn,Nu,30124020
20424020,Vũ Phương Hoài,Nu,30124020
20424021,Nguyễn Huy,Nu,30124021
20424022,Hà Tiến,Nam,30124022
20424023,Huỳnh Văn,Nam,30124023
20424024,Trương Châu,Nam,30124024
20424025,Trần Hoàng,Nam,30124025
20424026,Nguyễn Xuân,Nam,30124026
20424027,Lê Mạnh,Nam,30124027
20424028,Vũ Mạnh,Nu,30124028
20424029,Đặng Thị Như,Nu,30124029
20424030,Thái Quang,Nu,30124030
20424031,Trần Quốc,Nu,30124031
20424039,Võ Lê Bảo,Nu,30124032
20424040,Huỳnh Anh,Nu,30124033
 
