19424041,Nguyễn Thái,Nam,30124041
19424042,Lê Tuấn,Nam,30124042
19424043,Bùi Xuân,Nu,30124043
19424044,Nguyễn Kim,Nam,30124044
19424045,Lý Gia,Nam,30124045
19424046,Nguyễn Gia,Nam,30124046
19424047,Trần Minh,Nam,30124047
19424048,Dương Dủ,Nam,30124048
19424049,Lê Quốc,Nam,30124049
19424050,Nguyễn Chí,Nam,30124050
19424051,Trần Minh,Nam,30124051
19424052,Nguyễn Ngọc,Nu,30124052
19424053,Hà Thị Mỹ,Nu,30124053
19424054,Phan Huy,Nu,30124054
19424055,Trần Quang,Nu,30124055
19424056,Lê Đức,Nu,30124056
19424057,Nguyễn Minh,Nu,30124057
19424058,Võ Minh,Nu,30124058
19424059,Hoàng Đình Sơn,Nu,30124059
19424060,Vũ Phương Hoài,Nu,30124060
19424061,Nguyễn Huy,Nu,30124061
19424062,Hà Tiến,Nam,30124062
19424063,Huỳnh Văn,Nam,30124063
19424064,Trương Châu,Nam,30124064
19424065,Trần Hoàng,Nam,30124065
19424066,Nguyễn Xuân,Nam,30124066
19424067,Lê Mạnh,Nam,30124067
19424068,Vũ Mạnh,Nu,30124068
19424069,Đặng Thị Như,Nu,30124069
19424070,Thái Quang,Nu,30124070
19424071,Trần Quốc,Nu,30124071
19424072,Võ Lê Bảo,Nu,30124072
19424073,Huỳnh Anh,Nu,30124073
19424074,Bùi Đăng,Nu,30124074

