19424081,Nguyễn Thái,Nam,30124081
19424082,Lê Tuấn,Nam,30124082
19424083,Bùi Xuân,Nu,30124083
19424084,Nguyễn Kim,Nam,30124084
19424085,Lý Gia,Nam,30124085
19424086,Nguyễn Gia,Nam,30124086
19424087,Trần Minh,Nam,30124087
19424088,Dương Dủ,Nam,30124088
19424089,Lê Quốc,Nam,30124089
19424090,Nguyễn Chí,Nam,30124090
19424091,Trần Minh,Nam,30124091
19424092,Nguyễn Ngọc,Nu,30124092
19424093,Hà Thị Mỹ,Nu,30124093
19424094,Phan Huy,Nu,30124094
19424095,Trần Quang,Nu,30124095
19424096,Lê Đức,Nu,30124096
19424097,Nguyễn Minh,Nu,30124097
19424098,Võ Minh,Nu,30124098
19424099,Hoàng Đình Sơn,Nu,30124099
19424100,Vũ Phương Hoài,Nu,30124100
19424101,Nguyễn Huy,Nu,30124101
19424102,Hà Tiến,Nam,30124102
19424103,Huỳnh Văn,Nam,30124103
19424104,Trương Châu,Nam,30124104
19424105,Trần Hoàng,Nam,30124105
19424106,Nguyễn Xuân,Nam,30124106
19424107,Lê Mạnh,Nam,30124107
19424108,Vũ Mạnh,Nu,30124108
19424109,Đặng Thị Như,Nu,30124109
19424110,Thái Quang,Nu,30124110
19424111,Trần Quốc,Nu,30124111
19424112,Võ Lê Bảo,Nu,30124112
19424113,Huỳnh Anh,Nu,30124113
19424114,Bùi Đăng,Nu,30124114

